-DOCSTART- -X- O O
Tentsio	B-EVENT
arteriala	O
(	O
TA	B-EVENT
)	I-EVENT
,	O
130	B-RML
/	I-RML
80	I-RML
mm	I-RML
Hg	I-RML
;	I-RML
tenperatura	B-EVENT
,	O
36,7	B-RML
deg	I-RML
C	I-RML
;	I-RML
bihotz-maiztasuna	B-EVENT
(	O
BM	B-EVENT
)	I-EVENT
,	O
70	B-RML
tau	I-RML
/	I-RML
min	I-RML
.	O
-DOCSTART- -X- O O
Pultsu	B-EVENT
periferiko	O
normalak	B-RML
.	O
-DOCSTART- -X- O O
Hb	B-EVENT
,	O
9,6	B-RML
g	I-RML
/	I-RML
dl	I-RML
;	I-RML
batez	O
besteko	O
bolumen	B-EVENT
korpuskularra	O
(	O
BBK	B-EVENT
)	I-EVENT
,	O
69	B-RML
;	I-RML
burdina	B-EVENT
,	O
15	B-RML
ug	I-RML
/	I-RML
dl	I-RML
.	O
-DOCSTART- -X- O O
Anestesia	O
topikoa	O
jarri	O
ostean	O
,	O
gastroskopioa	O
ahotik	O
barrena	O
sartuta	O
:	O
hestegorriak	O
kalibre	O
eta	O
mukosa	O
normala	O
du	O
;	O
urdailaren	O
zabalgarritasuna	B-EVENT
eta	O
uzkurtasuna	B-EVENT
normalak	B-RML
dira	O
;	O
ez	O
da	O
odol-aztarnarik	O
ikusten	O
,	O
ez	O
eta	O
lesiorik	O
ere	O
;	O
piloro	O
normala	O
.	O
-DOCSTART- -X- O O
Uzkiaren	O
ikuskapena	B-EVENT
:	I-EVENT
normala	B-RML
;	I-RML
ondeste-ukipena	B-EVENT
:	I-EVENT
normala	B-RML
;	I-RML
ondeste	O
normala	O
;	O
sigma	O
:	O
dibertikuluak	O
;	O
beheranzko	O
kolon	O
normala	O
;	O
zeharkako	O
kolon	O
normala	O
;	O
goranzko	O
kolon	O
normala	O
;	O
itsua	O
:	O
neoplasia	O
ultzeratua	O
.	O
-DOCSTART- -X- O O
2011ko	O
abuztuan	O
eskuineko	O
giltzurrunean	O
6,5	B-RML
cm-ko	I-RML
tumore	B-EVENT
bat	O
aurkitu	O
diote	O
,	O
pedikulua	O
infiltratzen	O
duena	O
.	O
-DOCSTART- -X- O O
Tentsio	B-EVENT
arteriala	O
(	O
TA	B-EVENT
)	I-EVENT
,	O
131	B-RML
/	I-RML
86	I-RML
mm	I-RML
Hg	I-RML
;	I-RML
bihotz-maiztasuna	B-EVENT
(	O
BM	B-EVENT
)	I-EVENT
,	O
79	B-RML
tau	I-RML
/	I-RML
min	I-RML
;	I-RML
arnas	O
maiztasuna	B-EVENT
(	O
AM	B-EVENT
)	I-EVENT
,	O
20	B-RML
arnas	I-RML
/	I-RML
min	I-RML
;	I-RML
O2Sat	B-EVENT
,	O
%	B-RML
97	I-RML
;	I-RML
tenperatura	B-EVENT
(	O
T	B-EVENT
)	I-EVENT
,	O
36	B-RML
oC	I-RML
.	O
-DOCSTART- -X- O O
Larruazal	O
eta	O
mukosen	O
kolorazioa	B-EVENT
normala	B-RML
da	O
.	O
-DOCSTART- -X- O O
Tenperatura	B-EVENT
:	I-EVENT
38,5	B-RML
deg	I-RML
C	I-RML
.	O
-DOCSTART- -X- O O
AZALEKO	O
KULTIBOA	B-EVENT
.	O
positiboa	B-RML
,	O
Staphylococcus	B-EVENT
aureusa	O
hazten	O
da	O
.	O
-DOCSTART- -X- O O
ANALITIKA	O
.	O
18.000	B-RML
leukozito	B-EVENT
;	I-EVENT
neutrofiloak	I-EVENT
,	O
%	B-RML
85	I-RML
.	O
-DOCSTART- -X- O O
Tentsio	B-EVENT
arteriala	O
,	O
95	B-RML
/	I-RML
65	I-RML
mm	I-RML
Hg	I-RML
;	I-RML
bihotz-maiztasuna	B-EVENT
,	O
98	B-RML
tau	I-RML
/	I-RML
min	I-RML
;	I-RML
arnas	O
maiztasuna	B-EVENT
,	O
28	B-RML
arnas	I-RML
/	I-RML
min	I-RML
;	I-RML
O2Sat	B-EVENT
,	O
%	B-RML
98	I-RML
.	O
-DOCSTART- -X- O O
Pultsu	B-EVENT
periferikoak	O
normalak	B-RML
dira	O
.	O
-DOCSTART- -X- O O
Fibrilazio	B-EVENT
aurikularra	O
,	O
98	B-RML
tau	I-RML
/	I-RML
min	I-RML
.	O
-DOCSTART- -X- O O
Kreatinina	B-EVENT
,	O
7,2	B-RML
mg	I-RML
/	I-RML
dl	I-RML
;	I-RML
urea	B-EVENT
,	O
235	B-RML
mg	I-RML
/	I-RML
dl	I-RML
;	I-RML
Cl	B-EVENT
,	O
99	B-RML
meq	I-RML
/	I-RML
l	I-RML
;	I-RML
Na	B-EVENT
,	O
135	B-RML
meq	I-RML
/	I-RML
l	I-RML
;	I-RML
K	B-EVENT
,	O
3,4	B-RML
meq	I-RML
/	I-RML
l	I-RML
;	I-RML
glukosa	B-EVENT
,	O
164	B-RML
mg	I-RML
/	I-RML
dl	I-RML
;	I-RML
CO2	B-EVENT
totala	O
,	O
15	B-RML
;	I-RML
hemoglobina	B-EVENT
,	O
15,4	B-RML
g	I-RML
/	I-RML
dl	I-RML
;	I-RML
