-DOCSTART- -X- O O
Biokimika	O
:	O
Na	B-EVENT
128	B-RML
mEq	I-RML
/	I-RML
l	I-RML
.	O
,	O
PCR	B-EVENT
265	B-RML
mg	I-RML
/	I-RML
l	I-RML
.	O
-DOCSTART- -X- O O
Se	O
realizo	O
ecografia	O
abdominal	O
objetivandose	O
masa	B-EVENT
retroperitoneal	O
de	O
unos	B-RML
8	I-RML
cm	I-RML
,	O
de	O
ecogenicidad	O
heterogenea	O
y	O
marcada	O
vascularizacion	O
.	O
-DOCSTART- -X- O O
ANALITIKA	B-EVENT
:	I-EVENT
Normala	B-RML
.	O
-DOCSTART- -X- O O
Goragaleak	O
ditu	O
,	O
botakarik	O
gabe	O
.	O
39,5oCko	B-RML
sukarra	B-EVENT
izan	O
du	O
.	O
Ez	O
du	O
gernu	O
aparatuko	O
klinikarik	O
esta	O
beste	O
sintomarik	O
ere	O
.	O
-DOCSTART- -X- O O
Kontroleko	O
ekokardiogramen	O
arabera	O
,	O
funtzio	B-EVENT
sistoliko	O
global	O
egokia	B-RML
agertzen	O
du	O
ezkerreko	O
bentrikuluan	O
.	O
-DOCSTART- -X- O O
LARRIALDIETARA	O
HELTZEAN	O
TA	B-EVENT
107	B-RML
/	I-RML
61	I-RML
;	I-RML
BM	B-EVENT
(	O
bihotz-maiztasuna	B-EVENT
)	I-EVENT
107	B-RML
taupada	I-RML
/	I-RML
min	I-RML
;	I-RML
O2	O
saturazioa	B-EVENT
%	B-RML
94	I-RML
,	O
2	O
l	O
/	O
min	O
O2	O
sudur-betaurrekoekin	O
;	O
espazio	O
eta	O
denbora	O
aldetik	O
kontziente	O
eta	O
orientaturik	O
;	O
zurbiltasun	O
mukokutaneoa	O
.	O
-DOCSTART- -X- O O
Bihotz-birika	O
ikuskaketa	B-EVENT
normala	B-RML
.	O
-DOCSTART- -X- O O
Adenokartzinoma	B-EVENT
ondo	O
diferentziatua	O
(	O
G1	O
)	O
,	O
4x2,5	B-RML
cm-koa	I-RML
,	O
afektazio	O
neoplasikorik	O
gabeko	O
15	O
adenopatia	O
,	O
ez	O
dago	O
inbasio	O
linfobaskularrik	O
,	O
erresekzio-ertzak	O
neoplasiarik	O
gabe	O
daude	O
;	O
pT2N0M0	O
.	O
-DOCSTART- -X- O O
Tentsio	B-EVENT
arteriala	O
,	O
144	B-RML
/	I-RML
83	I-RML
;	I-RML
bihotz-maiztasuna	B-EVENT
,	O
98	B-RML
tau	I-RML
/	I-RML
min	I-RML
;	I-RML
O2Sat	B-EVENT
,	O
%	B-RML
99	I-RML
.	O
-DOCSTART- -X- O O
Odolean	O
Zitomegalobirusaren	O
antigenoa	B-EVENT
eta	O
hazkuntza	B-EVENT
positiboak	B-RML
izan	O
ziren	O
.	O
-DOCSTART- -X- O O
La	O
TC	O
mostro	O
una	O
masa	B-EVENT
de	O
15	B-RML
x	I-RML
13	I-RML
x	I-RML
7	I-RML
cm	I-RML
dependiente	O
del	O
colon	O
ascendente	O
con	O
metastasis	O
hepaticas	O
bilobares	O
;	O
se	O
realizo	O
una	O
hemicolectomia	O
derecha	O
con	O
biopsia	O
hepatica	O
.	O
-DOCSTART- -X- O O
Kreatinina	B-EVENT
,	O
7,2	B-RML
