-DOCSTART- -X- O O
Nella	O
valutazione	O
multidimensionale	O
con	O
scheda	O
Valgraf	O
,	O
prevista	O
per	O
la	O
presa	O
in	O
carico	O
,	O
e	O
stata	O
inserita	O
anche	O
la	O
valutazione	B-EVENT
con	O
la	O
scala	O
PHE-S	O
(r)	O
,	O
che	O
ha	O
rilevato	O
un	O
valore	O
basso	O
di	O
engagement	B-EVENT
pari	O
a	O
2	B-RML
.	O
-DOCSTART- -X- O O
Nel	O
2005	O
,	O
all	O
'	O
eta	O
di	O
82	O
anni	O
,	O
la	O
paziente	O
era	O
ricoverata	O
per	O
insufficienza	O
renale	O
acuta	O
rapidamente	O
progressiva	O
(	O
creatininemia	B-EVENT
1,5	B-RML
-	I-RML
6	I-RML
mg	I-RML
/	I-RML
dL	I-RML
)	I-RML
e	O
insufficienza	O
respiratoria	O
.	O
-DOCSTART- -X- O O
Un	O
ecocardiogramma	B-EVENT
risultava	O
nella	B-RML
norma	I-RML
per	O
l	O
'	O
eta	O
.	O
-DOCSTART- -X- O O
Gli	O
esami	B-EVENT
colturali	O
(	O
germi	B-EVENT
comuni	O
,	O
BK	B-EVENT
)	I-EVENT
risultavano	O
negativi	B-RML
.	O
-DOCSTART- -X- O O
Presenza	O
nel	O
siero	O
di	O
anticorpi	O
antimembrana	O
basale	O
glomerulare	O
(	O
anti	O
MBG	O
)	O
;	O
negativa	B-RML
la	O
ricerca	O
di	O
anticorpi	B-EVENT
anti	O
citoplasma	O
dei	O
neutrofili	O
(	O
ANCA	B-EVENT
)	I-EVENT
.	O
-DOCSTART- -X- O O
Nel	O
corso	O
di	O
questo	O
periodo	O
anti	B-EVENT
MBG	O
e	O
ANCA	B-EVENT
sempre	O
negativi	B-RML
.	O
-DOCSTART- -X- O O
La	O
creatinina	B-EVENT
oscillava	O
tra	O
1,5	B-RML
-	I-RML
2	I-RML
mg	I-RML
/	I-RML
dL	I-RML
con	O
proteinuria	B-EVENT
sempre	O
<	B-RML
1	I-RML
g	I-RML
die	I-RML
.	O
-DOCSTART- -X- O O
Il	O
quadro	O
laboratoristico	O
evidenziava	O
negativita	B-RML
degli	O
anti	B-EVENT
MBG	O
e	O
comparsa	O
di	O
positivita	B-RML
dei	O
p-ANCA	B-EVENT
pur	O
se	O
a	O
titolo	O
non	O
elevato	O
(	O
IFI	B-EVENT
1	B-RML
:	I-RML
80	I-RML
;	I-RML
EIA	B-EVENT
9,6	B-RML
)	I-RML
.	O
-DOCSTART- -X- O O
Negativi	B-RML
gli	O
esami	B-EVENT
colturali	O
(	O
escreatocoltura	B-EVENT
,	O
urinocoltura	B-EVENT
)	I-EVENT
.	O
-DOCSTART- -X- O O
Nell	O
'	O
ipotesi	O
di	O
una	O
riattivazione	O
della	O
malattia	O
autoimmunitaria	O
e	O
con	O
l	O
'	O
evidenza	O
di	O
esami	B-EVENT
colturali	O
negativi	B-RML
la	O
paziente	O
praticava	O
nuovamente	O
boli	O
di	O
cortisone	O
ev	O
ma	O
l	O
'	O
evoluzione	O
clinica	O
era	O
complicata	O
da	O
polmonite	O
da	O
K	O
.	O
pneumoniae	O
che	O
determinava	O
rapidamente	O
il	O
decesso	O
della	O
paziente	O
.	O
-DOCSTART- -X- O O
Si	O
descrive	O
il	O
caso	O
di	O
una	O
paziente	O
di	O
anni	O
52	O
,	O
con	O
diagnosi	O
bioptica	O
nel	O
1983	O
di	O
GN	O
membranosa	O
,	O
sottrattasi	O
al	O
follow-up	O
per	O
alcuni	O
anni	O
e	O
ripresa	O
in	O
carico	O
ambulatoriale	O
con	O
un	O
grado	O
di	O
insufficienza	O
renale	O
avanzato	O
(	O
Crs	B-EVENT
4,5	B-RML
mg	I-RML
/	I-RML
dl	I-RML
)	I-RML
.	O
-DOCSTART- -X- O O
Costituzionalmente	O
obesa	O
(	O
BMI	B-EVENT
=	O
34	B-RML
)	I-RML
,	O
era	O
stata	O
esclusa	O
dalla	O
dialisi	O
peritoneale	O
per	O
la	O
presenza	O
di	O
alcune	O
controindicazioni	O
cliniche	O
insieme	O
a	O
scarsa	O
accettazione	O
della	O
paziente	O
.	O
-DOCSTART- -X- O O
L	O
'	O
esecuzione	O
di	O
un	O
ecodoppler	O
,	O
non	O
metteva	O
in	O
evidenza	O
segni	O
di	O
stenosi	O
sul	O
decorso	O
della	O
vena	O
a	O
livello	O
del	O
braccio	O
,	O
mentre	O
piu	O
prossimalmente	O
il	O
colordoppler	O
registrava	O
a	O
livello	O
del	O
tratto	O
precedente	O
la	O
confluenza	O
cefalico-succlavia	O
spiccate	O
turbolenze	O
cui	O
corrispondeva	O
al	O
duplex	O
un	O
notevole	O
aumento	O
della	O
velocita	B-EVENT
di	O
flusso	O
fino	O
a	O
4,5	B-RML
m	I-RML
/	I-RML
s	I-RML
.	O
-DOCSTART- -X- O O
La	O
misurazione	O
del	O
flusso	O
dell	O
'	O
accesso	O
eseguita	O
con	O
il	O
metodo	O
della	O
diluizione	O
degli	O
ultrasuoni	O
(	O
Transonic	O
)	O
a	O
partire	O
dalla	O
prima	O
procedura	O
ha	O
costantemente	O
evidenziato	O
un	O
'	O
elevata	O
portata	B-EVENT
della	O
FAV	O
(	O
range	O
2500	B-RML
-	I-RML
3000	I-RML
ml	I-RML
/	I-RML
min	I-RML
)	I-RML
.	O
-DOCSTART- -X- O O
